Time (s),CH1 Current (A),CH1 Voltage (V)
0:00:00,0.0,7.51
0:00:00.201471,0.03,7.51
0:00:00.403591,0.03,7.51
0:00:00.605915,0.03,7.51
0:00:00.807887,0.03,7.51
0:00:01.012459,0.03,7.51
0:00:01.213549,0.03,7.51
0:00:01.416048,0.03,7.51
0:00:01.619682,0.03,7.51
0:00:01.821407,0.03,7.51
0:00:02.022655,0.03,7.51
0:00:02.224746,0.03,7.51
0:00:02.426900,0.03,7.51
0:00:02.627931,0.03,7.51
0:00:02.831501,0.03,7.51
0:00:03.033727,0.03,7.51
0:00:03.235930,0.0,7.51
0:00:03.440378,0.0,7.51
0:00:03.642429,0.0,7.51
0:00:03.844738,0.0,7.51
0:00:04.047264,0.0,7.51
0:00:04.251365,0.0,7.51
0:00:04.452455,0.0,7.51
0:00:04.653197,0.0,7.51
0:00:04.854708,0.0,7.51
0:00:05.056755,0.0,7.51
0:00:05.257750,0.0,7.51
0:00:05.460471,0.0,7.51
0:00:05.661003,0.0,7.51
0:00:05.863820,0.0,7.51
0:00:06.064855,0.0,7.51
0:00:06.266719,0.0,7.51
0:00:06.467834,0.0,7.51
0:00:06.671107,0.0,7.51
0:00:06.872459,0.0,7.51
0:00:07.073760,0.0,7.51
0:00:07.275960,0.0,7.51
0:00:07.477832,0.0,7.51
0:00:07.680419,0.0,7.51
0:00:07.882138,0.0,7.51
0:00:08.084771,0.0,7.51
0:00:08.286764,0.0,7.51
0:00:08.487685,0.0,7.51
0:00:08.690423,0.0,7.51
0:00:08.893754,0.0,7.51
0:00:09.095787,0.0,7.51
0:00:09.297731,0.0,7.51
0:00:09.497764,0.0,7.51
0:00:09.698937,0.0,7.51
0:00:09.901470,0.0,7.51
0:00:10.102654,0.0,7.51
0:00:10.304752,0.0,7.51
0:00:10.506744,0.0,7.51
0:00:10.709415,0.0,7.51
0:00:10.912434,0.0,7.51
0:00:11.113777,0.0,7.51
0:00:11.315925,0.0,7.51
