Position,Scan 1,Scan 2,Scan 3,Scan 4,Scan 5,Scan 6,Scan 7,Scan 8,Scan 9,Scan 10
0,0,0,0,0,0,0,0,0,0,0
0.001,0,1012,0,1044,0,983,0,1030,0,1026
0.002,0,987,0,1000,0,978,0,1037,0,1062
0.003,0,961,0,995,0,1000,0,1050,0,1036
0.004,0,998,0,1013,0,1006,0,1032,0,998
0.005,0,1026,0,999,0,997,0,1016,0,1008
0.006,0,1026,0,999,0,1002,0,1039,0,1050
0.007,0,1006,0,1028,0,1017,0,1009,0,1035
0.008,0,975,0,1005,0,965,0,1026,0,998
0.009,0,1039,0,1001,0,1031,0,1008,0,1035
0.01,0,1038,0,1002,0,1022,0,1012,0,1013
0.011,0,1031,0,1001,0,999,0,1067,0,1021
0.012,0,1007,0,983,0,1005,0,1036,0,1030
0.013,0,969,0,990,0,1013,0,1059,0,1033
0.014,0,1012,0,1030,0,1005,0,1054,0,1072
0.015,0,1015,0,1011,0,993,0,1024,0,1048
0.016,0,1013,0,1015,0,988,0,1043,0,1016
0.017,0,946,0,977,0,1009,0,1003,0,1007
0.018,0,1027,0,966,0,1033,0,1030,0,962
0.019,0,971,0,963,0,1014,0,1030,0,993
0.02,0,996,0,978,0,929,0,1008,0,1016
0.021,0,1008,0,1004,0,1023,0,1025,0,1039
0.022,0,1029,0,1003,0,974,0,1014,0,1052
0.023,0,1025,0,997,0,965,0,1029,0,1048
0.024,0,1005,0,999,0,1000,0,1006,0,1041
0.025,0,977,0,1007,0,996,0,1029,0,1043
0.026,0,1019,0,998,0,1008,0,1019,0,1032
0.027,0,1022,0,1051,0,982,0,1039,0,1052
0.028,0,974,0,999,0,1025,0,1003,0,1027
0.029,0,989,0,991,0,995,0,1054,0,1046
0.03,0,976,0,962,0,1018,0,1005,0,1041
0.031,0,987,0,1027,0,984,0,1028,0,1024
0.032,0,959,0,1037,0,1011,0,997,0,1030
0.033,0,1015,0,975,0,1001,0,1002,0,1041
0.034,0,1007,0,1014,0,1023,0,1014,0,1058
0.035,0,1003,0,1021,0,978,0,1050,0,1024
0.036,0,965,0,1023,0,992,0,1035,0,1040
0.037,0,979,0,1004,0,991,0,1026,0,1065
0.038,0,997,0,1007,0,974,0,1030,0,1042
0.039,0,985,0,1011,0,1022,0,1015,0,996
0.04,0,997,0,1032,0,1023,0,1027,0,1046
0.041,0,1024,0,1018,0,1008,0,1002,0,1053
0.042,0,995,0,965,0,1026,0,1027,0,1020
0.043,0,1011,0,1023,0,1040,0,1037,0,1054
0.044,0,1021,0,963,0,1005,0,1033,0,1007
0.045,0,969,0,1025,0,1004,0,1020,0,1037
0.046,0,1013,0,994,0,998,0,1029,0,1040
0.047,0,1003,0,1001,0,982,0,1048,0,1050
0.048,0,1060,0,1010,0,971,0,1019,0,1070
0.049,0,1003,0,993,0,1004,0,986,0,1031
0.05,0,1036,0,1029,0,975,0,984,0,1018
0.051,0,1011,0,1038,0,998,0,1030,0,1026
0.052,0,1016,0,1001,0,1008,0,1027,0,1021
0.053,0,1033,0,1023,0,977,0,1028,0,1057
0.054,0,1034,0,988,0,992,0,1041,0,1024
0.055,0,989,0,989,0,1016,0,1079,0,1030
0.056,0,971,0,992,0,1012,0,1041,0,993
0.057,0,976,0,1007,0,984,0,1008,0,1019
0.058,0,1014,0,1000,0,1013,0,1030,0,1018
0.059,0,984,0,1009,0,998,0,997,0,1049
0.06,0,1033,0,1028,0,985,0,1031,0,1041
0.061,0,993,0,960,0,983,0,1047,0,1008
0.062,0,1015,0,992,0,1053,0,1040,0,1056
0.063,0,1021,0,960,0,1018,0,991,0,1027
0.064,0,989,0,1021,0,1034,0,1039,0,1006
0.065,0,1036,0,1062,0,1028,0,1040,0,1024
0.066,0,1004,0,1023,0,1035,0,1004,0,1016
0.067,0,1029,0,975,0,1020,0,1018,0,1039
0.068,0,977,0,1006,0,1033,0,1066,0,1037
0.069,0,975,0,975,0,1005,0,1068,0,1015
0.07,0,982,0,958,0,1030,0,1022,0,980
0.071,0,1040,0,995,0,992,0,1031,0,978
0.072,0,957,0,986,0,1002,0,991,0,1005
0.073,0,1032,0,1013,0,1026,0,1008,0,996
0.074,0,998,0,1006,0,1024,0,1015,0,1034
0.075,0,951,0,992,0,993,0,1016,0,1026
0.076,0,998,0,989,0,1005,0,1010,0,1046
0.077,0,991,0,991,0,1017,0,992,0,1024
0.078,0,1035,0,981,0,1038,0,1018,0,1012
0.079,0,1007,0,994,0,1020,0,1013,0,1030
0.08,0,999,0,1002,0,1019,0,1033,0,1055
0.081,0,1000,0,993,0,995,0,997,0,1039
0.082,0,1007,0,1019,0,999,0,1009,0,1020
0.083,0,1029,0,1011,0,1001,0,1056,0,998
0.084,0,1024,0,999,0,1004,0,1016,0,1002
0.085,0,991,0,989,0,1011,0,995,0,1019
0.086,0,1021,0,1000,0,998,0,1026,0,992
0.087,0,983,0,979,0,976,0,1041,0,1067
0.088,0,977,0,1003,0,1013,0,996,0,1037
0.089,0,989,0,1028,0,1035,0,1024,0,1042
0.09,0,1002,0,986,0,1021,0,1048,0,1005
0.091,0,982,0,974,0,979,0,1036,0,1036
0.092,0,943,0,989,0,978,0,1019,0,1058
0.093,0,985,0,986,0,1002,0,1012,0,1068
0.094,0,1012,0,951,0,1019,0,1011,0,1064
0.095,0,997,0,991,0,985,0,1044,0,1059
0.096,0,969,0,1009,0,1011,0,1032,0,1046
0.097,0,960,0,984,0,983,0,990,0,1003
0.098,0,993,0,1002,0,988,0,1043,0,1025
0.099,0,979,0,1028,0,1001,0,975,0,1020
0.1,0,960,0,1002,0,1028,0,1022,0,1022
0.101,0,1014,0,1060,0,1007,0,1056,0,1012
0.102,0,1012,0,1029,0,987,0,1041,0,1047
0.103,0,983,0,1022,0,1017,0,985,0,1014
0.104,0,995,0,1024,0,997,0,1047,0,982
0.105,0,1002,0,1019,0,1058,0,1046,0,1039
0.106,0,988,0,1020,0,1006,0,1067,0,1037
0.107,0,1002,0,1004,0,993,0,1029,0,1032
0.108,0,1006,0,996,0,1034,0,1023,0,1029
0.109,0,984,0,990,0,964,0,1030,0,1034
0.11,0,1001,0,1003,0,984,0,1073,0,1049
0.111,0,981,0,1010,0,1002,0,1044,0,1029
0.112,0,1003,0,987,0,1009,0,1006,0,1065
0.113,0,996,0,991,0,1025,0,1006,0,1049
0.114,0,986,0,974,0,992,0,960,0,1003
0.115,0,1029,0,979,0,961,0,1019,0,1032
0.116,0,978,0,996,0,995,0,1029,0,1036
0.117,0,979,0,1030,0,958,0,1046,0,989
0.118,0,991,0,994,0,961,0,1040,0,1021
0.119,0,1024,0,1025,0,972,0,1006,0,1018
0.12,0,1030,0,1011,0,1026,0,1066,0,1011
0.121,0,976,0,1008,0,1006,0,1040,0,1042
0.122,0,998,0,982,0,966,0,1049,0,1051
0.123,0,1000,0,992,0,992,0,1016,0,1015
0.124,0,1016,0,960,0,970,0,1045,0,1050
0.125,0,935,0,980,0,966,0,1038,0,1052
0.126,0,1024,0,994,0,995,0,997,0,1019
0.127,0,1029,0,1007,0,1009,0,1054,0,1036
0.128,0,992,0,1001,0,1020,0,1035,0,1031
0.129,0,991,0,1023,0,1020,0,1070,0,1037
0.13,0,985,0,1011,0,982,0,1038,0,991
0.131,0,1007,0,996,0,996,0,1056,0,1019
0.132,0,979,0,1007,0,1052,0,1054,0,1005
0.133,0,1013,0,984,0,1035,0,1016,0,1007
0.134,0,1001,0,982,0,1054,0,1055,0,1026
0.135,0,999,0,1025,0,1009,0,1038,0,997
0.136,0,1004,0,987,0,993,0,996,0,1022
0.137,0,995,0,973,0,992,0,1025,0,1034
0.138,0,1015,0,978,0,1041,0,1023,0,985
0.139,0,953,0,1001,0,1034,0,1017,0,984
0.14,0,1001,0,995,0,988,0,1044,0,1039
0.141,0,970,0,1007,0,998,0,1024,0,1028
0.142,0,997,0,1042,0,1010,0,1037,0,970
0.143,0,996,0,995,0,1022,0,1033,0,1018
0.144,0,971,0,993,0,1058,0,1013,0,982
0.145,0,980,0,1012,0,1012,0,1058,0,1028
0.146,0,985,0,986,0,1002,0,1007,0,1010
0.147,0,993,0,1026,0,989,0,961,0,1035
0.148,0,1003,0,1023,0,1022,0,1030,0,1038
0.149,0,993,0,991,0,1035,0,1027,0,1032
0.15,0,999,0,1002,0,1030,0,1027,0,1009
0.151,0,1003,0,989,0,1045,0,1055,0,1027
0.152,0,990,0,1021,0,1037,0,1043,0,1001
0.153,0,1010,0,1032,0,1046,0,1024,0,1047
0.154,0,991,0,982,0,1047,0,1010,0,1038
0.155,0,993,0,968,0,990,0,1014,0,1021
0.156,0,1031,0,977,0,991,0,990,0,1027
0.157,0,979,0,985,0,1010,0,1019,0,1020
0.158,0,1000,0,1013,0,1043,0,1046,0,1064
0.159,0,999,0,1021,0,1021,0,1045,0,1001
0.16,0,991,0,1054,0,1004,0,1057,0,1016
0.161,0,977,0,1022,0,1034,0,1014,0,1064
0.162,0,1008,0,1000,0,1021,0,1048,0,1016
0.163,0,958,0,1031,0,1045,0,1066,0,1048
0.164,0,1008,0,987,0,1040,0,1023,0,1056
0.165,0,989,0,987,0,1016,0,1025,0,1071
0.166,0,1000,0,1001,0,1032,0,1051,0,1058
0.167,0,999,0,988,0,1013,0,1035,0,1013
0.168,0,981,0,994,0,1009,0,1009,0,989
0.169,0,1012,0,970,0,1023,0,1012,0,1018
0.17,0,983,0,1031,0,1024,0,995,0,993
0.171,0,967,0,950,0,1025,0,1013,0,1055
0.172,0,1021,0,1024,0,1035,0,1020,0,1046
0.173,0,999,0,1051,0,982,0,1027,0,1039
0.174,0,990,0,1005,0,1007,0,1030,0,997
0.175,0,1008,0,983,0,1031,0,1028,0,1008
0.176,0,987,0,1006,0,1011,0,1003,0,1034
0.177,0,977,0,1013,0,989,0,1048,0,1036
0.178,0,1027,0,1013,0,1010,0,1027,0,1013
0.179,0,993,0,1023,0,993,0,1088,0,1036
0.18,0,1012,0,980,0,1018,0,1042,0,1016
0.181,0,996,0,1040,0,993,0,1036,0,1057
0.182,0,1022,0,989,0,998,0,1066,0,1022
0.183,0,978,0,1021,0,1061,0,1001,0,1070
0.184,0,989,0,977,0,1049,0,1012,0,1041
0.185,0,1004,0,1052,0,983,0,1006,0,1023
0.186,0,952,0,993,0,1005,0,976,0,1045
0.187,0,1004,0,1018,0,1050,0,1004,0,1060
0.188,0,1027,0,1019,0,997,0,1027,0,995
0.189,0,1031,0,1025,0,1002,0,1040,0,992
0.19,0,1029,0,1005,0,998,0,1041,0,1056
0.191,0,1001,0,1022,0,1001,0,1016,0,1042
0.192,0,949,0,985,0,1009,0,1013,0,1055
0.193,0,987,0,1023,0,1025,0,1031,0,1007
0.194,0,1008,0,1021,0,1034,0,1047,0,990
0.195,0,946,0,1018,0,1032,0,1002,0,1038
0.196,0,984,0,1003,0,1061,0,1026,0,1026
0.197,0,989,0,1018,0,1046,0,1010,0,1061
0.198,0,997,0,989,0,1057,0,993,0,1045
0.199,0,978,0,1015,0,1026,0,1043,0,1007
0.2,0,981,0,1024,0,1026,0,1061,0,1039
0.201,0,989,0,1068,0,1001,0,1032,0,1038
0.202,0,1003,0,998,0,996,0,1076,0,1062
0.203,0,990,0,1052,0,986,0,1044,0,1058
0.204,0,991,0,1044,0,964,0,1095,0,1058
0.205,0,1019,0,1042,0,1015,0,993,0,1084
0.206,0,1029,0,1014,0,1021,0,1036,0,1036
0.207,0,1007,0,998,0,1018,0,1012,0,1001
0.208,0,996,0,997,0,1002,0,1039,0,1021
0.209,0,981,0,988,0,989,0,1057,0,1033
0.21,0,999,0,992,0,997,0,1013,0,1009
0.211,0,989,0,1030,0,1006,0,1026,0,1029
0.212,0,987,0,1012,0,996,0,1012,0,1033
0.213,0,993,0,1052,0,963,0,1047,0,1013
0.214,0,1028,0,1037,0,1004,0,1026,0,1034
0.215,0,999,0,1040,0,1008,0,990,0,1018
0.216,0,1042,0,1003,0,1015,0,991,0,1066
0.217,0,1029,0,1003,0,1017,0,1016,0,1028
0.218,0,1020,0,1039,0,1013,0,1056,0,996
0.219,0,1024,0,978,0,990,0,991,0,1009
0.22,0,980,0,982,0,993,0,993,0,995
0.221,0,956,0,992,0,1024,0,1020,0,1017
0.222,0,981,0,1017,0,1040,0,1023,0,1063
0.223,0,1004,0,1026,0,1015,0,1071,0,1012
0.224,0,1009,0,1040,0,1046,0,1045,0,1028
0.225,0,1001,0,1034,0,1034,0,1039,0,1019
0.226,0,1033,0,1036,0,994,0,1047,0,981
0.227,0,1021,0,1013,0,1023,0,1048,0,987
0.228,0,1021,0,1011,0,1026,0,1056,0,1018
0.229,0,979,0,1004,0,1023,0,995,0,1016
0.23,0,1038,0,1032,0,992,0,1035,0,1036
0.231,0,994,0,1010,0,1004,0,1048,0,1029
0.232,0,969,0,997,0,995,0,1039,0,1029
0.233,0,1004,0,998,0,1036,0,1058,0,1001
0.234,0,967,0,984,0,1005,0,1054,0,1009
0.235,0,1010,0,1000,0,988,0,1040,0,1007
0.236,0,1010,0,1024,0,1036,0,1036,0,1006
0.237,0,975,0,1003,0,1022,0,1017,0,1027
0.238,0,1003,0,1034,0,1049,0,1017,0,1009
0.239,0,989,0,1037,0,995,0,1019,0,1033
0.24,0,970,0,966,0,1019,0,1023,0,1022
0.241,0,1047,0,1002,0,1015,0,1060,0,1020
0.242,0,996,0,1018,0,979,0,1057,0,1002
0.243,0,1013,0,1021,0,1009,0,1000,0,1027
0.244,0,993,0,1004,0,1012,0,1001,0,1005
0.245,0,1018,0,980,0,1028,0,1015,0,1030
0.246,0,1002,0,981,0,1028,0,1060,0,1028
0.247,0,1010,0,1003,0,1031,0,1028,0,1021
0.248,0,994,0,1041,0,987,0,1037,0,1024
0.249,0,1032,0,1036,0,1024,0,1057,0,1020
0.25,0,991,0,1028,0,1025,0,1060,0,1050
0.251,0,1014,0,991,0,1059,0,1003,0,1021
0.252,0,996,0,1030,0,1024,0,1016,0,1001
0.253,0,978,0,1004,0,986,0,1030,0,1056
0.254,0,984,0,981,0,1037,0,1042,0,1046
0.255,0,977,0,1052,0,1027,0,1032,0,1004
0.256,0,978,0,1013,0,1013,0,1047,0,1038
0.257,0,977,0,1019,0,1007,0,1045,0,1057
0.258,0,1008,0,998,0,983,0,1004,0,1038
0.259,0,983,0,988,0,1014,0,1018,0,1065
0.26,0,1054,0,1017,0,1006,0,1027,0,1024
0.261,0,1025,0,983,0,1020,0,1020,0,1028
0.262,0,986,0,969,0,1023,0,1003,0,1039
0.263,0,1020,0,985,0,992,0,1005,0,1031
0.264,0,990,0,983,0,1053,0,1021,0,1041
0.265,0,976,0,969,0,1045,0,1018,0,1060
0.266,0,1032,0,1015,0,1059,0,1042,0,1037
0.267,0,1019,0,1026,0,1046,0,1010,0,1021
0.268,0,1008,0,977,0,1023,0,1031,0,993
0.269,0,993,0,998,0,1025,0,1042,0,1035
0.27,0,969,0,1034,0,1015,0,1013,0,1044
0.271,0,1017,0,1008,0,1030,0,1042,0,1049
0.272,0,985,0,992,0,1026,0,1032,0,1025
0.273,0,983,0,1015,0,998,0,1054,0,1030
0.274,0,977,0,1042,0,1013,0,1076,0,994
0.275,0,1032,0,1007,0,1007,0,1036,0,1002
0.276,0,995,0,986,0,1003,0,1035,0,1035
0.277,0,1015,0,998,0,1049,0,1034,0,1036
0.278,0,1000,0,1005,0,1032,0,1052,0,1050
0.279,0,1009,0,1008,0,1038,0,1070,0,1035
0.28,0,999,0,1019,0,1011,0,1037,0,1016
0.281,0,1012,0,1006,0,1047,0,1029,0,1046
0.282,0,1014,0,977,0,1028,0,1033,0,1071
0.283,0,1021,0,1011,0,1036,0,1022,0,1055
0.284,0,1014,0,999,0,1038,0,1022,0,1033
0.285,0,1048,0,996,0,971,0,1004,0,1056
0.286,0,1073,0,1015,0,1038,0,1009,0,1077
0.287,0,994,0,1024,0,1018,0,1070,0,1063
0.288,0,1004,0,996,0,1006,0,1033,0,1043
0.289,0,1054,0,967,0,1011,0,1015,0,1070
0.29,0,1004,0,976,0,998,0,1038,0,1019
0.291,0,1046,0,985,0,1007,0,1007,0,1024
0.292,0,1018,0,1006,0,1006,0,999,0,989
0.293,0,1010,0,1023,0,1015,0,1007,0,1054
0.294,0,1016,0,1050,0,1038,0,1036,0,1049
0.295,0,1052,0,1054,0,1008,0,996,0,1056
0.296,0,1026,0,997,0,1012,0,1019,0,1020
0.297,0,977,0,1009,0,987,0,985,0,1015
0.298,0,997,0,1027,0,1014,0,1040,0,1018
0.299,0,964,0,993,0,1042,0,1049,0,1034
0.3,0,996,0,985,0,993,0,999,0,1023
0.301,0,1021,0,1024,0,1024,0,1033,0,1027
0.302,0,1032,0,1027,0,1011,0,993,0,1027
0.303,0,999,0,1046,0,995,0,997,0,1048
0.304,0,974,0,999,0,976,0,1040,0,1011
0.305,0,1017,0,1011,0,1009,0,1044,0,1023
0.306,0,1018,0,1005,0,1024,0,1054,0,1075
0.307,0,969,0,994,0,985,0,1059,0,1051
0.308,0,1007,0,1018,0,996,0,1027,0,1018
0.309,0,993,0,1018,0,977,0,1049,0,1043
0.31,0,1050,0,996,0,996,0,1027,0,1029
0.311,0,1002,0,992,0,1017,0,1030,0,1031
0.312,0,1006,0,1039,0,985,0,1012,0,1015
0.313,0,1026,0,1043,0,1006,0,1029,0,1039
0.314,0,1018,0,994,0,1002,0,1010,0,1062
0.315,0,978,0,1001,0,1033,0,1047,0,1006
0.316,0,1000,0,1006,0,1039,0,1049,0,996
0.317,0,1004,0,1032,0,1021,0,1001,0,1032
0.318,0,990,0,1004,0,992,0,1024,0,1047
0.319,0,989,0,1041,0,1021,0,1026,0,1009
0.32,0,1003,0,1017,0,1048,0,1021,0,1014
0.321,0,982,0,1018,0,1011,0,1063,0,1017
0.322,0,1014,0,1018,0,995,0,1066,0,1047
0.323,0,1004,0,996,0,1040,0,1057,0,993
0.324,0,975,0,1040,0,1012,0,1053,0,1005
0.325,0,975,0,1037,0,1020,0,1081,0,999
0.326,0,1001,0,1050,0,1038,0,1039,0,1020
0.327,0,992,0,1060,0,993,0,1045,0,1046
0.328,0,1009,0,987,0,983,0,1025,0,1016
0.329,0,1013,0,1043,0,1026,0,1055,0,1074
0.33,0,1004,0,1026,0,1012,0,1022,0,1064
0.331,0,1029,0,1028,0,1025,0,1012,0,1039
0.332,0,1015,0,1008,0,998,0,1024,0,1056
0.333,0,1033,0,995,0,983,0,1048,0,1022
0.334,0,985,0,1006,0,999,0,1020,0,1025
0.335,0,964,0,1033,0,1005,0,1003,0,1028
0.336,0,992,0,1026,0,998,0,1041,0,1022
0.337,0,980,0,1031,0,1034,0,1060,0,1010
0.338,0,996,0,1032,0,1003,0,1035,0,1032
0.339,0,973,0,1012,0,1053,0,1014,0,1064
0.34,0,998,0,991,0,1030,0,1046,0,1031
0.341,0,1040,0,1025,0,1034,0,1009,0,1040
0.342,0,975,0,973,0,989,0,1008,0,1015
0.343,0,993,0,1053,0,1001,0,1014,0,1076
0.344,0,982,0,997,0,1014,0,1040,0,1065
0.345,0,1035,0,1020,0,995,0,1027,0,1020
0.346,0,1014,0,1024,0,1006,0,1023,0,1037
0.347,0,1019,0,999,0,982,0,1013,0,1009
0.348,0,977,0,990,0,1008,0,1029,0,1031
0.349,0,999,0,1000,0,995,0,1066,0,1022
0.35,0,1021,0,1003,0,1052,0,1046,0,1044
0.351,0,1010,0,976,0,1000,0,1001,0,1057
0.352,0,995,0,972,0,988,0,1027,0,1039
0.353,0,971,0,1010,0,989,0,1039,0,999
0.354,0,1039,0,1003,0,994,0,1036,0,1047
0.355,0,997,0,990,0,999,0,1010,0,1071
0.356,0,1005,0,1008,0,1034,0,1020,0,1031
0.357,0,1048,0,1005,0,994,0,1017,0,1073
0.358,0,1018,0,984,0,1039,0,1006,0,1073
0.359,0,1042,0,1047,0,969,0,1026,0,1055
0.36,0,1007,0,1012,0,997,0,1027,0,1051
0.361,0,975,0,973,0,1003,0,1068,0,1052
0.362,0,981,0,986,0,991,0,1013,0,1045
0.363,0,1003,0,997,0,1031,0,1033,0,1066
0.364,0,1000,0,980,0,1028,0,1023,0,1009
0.365,0,1006,0,1018,0,1002,0,1023,0,1067
0.366,0,1016,0,974,0,1037,0,1032,0,1040
0.367,0,996,0,979,0,1013,0,965,0,1051
0.368,0,1039,0,1002,0,1056,0,997,0,1022
0.369,0,1019,0,1022,0,1022,0,987,0,990
0.37,0,1011,0,996,0,1024,0,1011,0,1047
0.371,0,985,0,998,0,979,0,1011,0,1033
0.372,0,1011,0,1009,0,1060,0,1009,0,1038
0.373,0,1027,0,993,0,1041,0,1024,0,1003
0.374,0,1023,0,1010,0,999,0,1024,0,1021
0.375,0,1021,0,959,0,1012,0,995,0,1039
