Time (s),CH1 Current (A),CH1 Voltage (V)
0:00:00,0.0,7.5
0:00:00.203384,0.0,7.5
0:00:00.405007,0.03,7.5
0:00:00.619272,0.03,7.5
0:00:00.833697,0.03,7.5
0:00:01.035597,0.03,7.5
0:00:01.237662,0.03,7.5
0:00:01.440621,0.03,7.5
0:00:01.643306,0.03,7.5
0:00:01.857715,0.03,7.5
0:00:02.062244,0.03,7.5
0:00:02.265189,0.03,7.5
0:00:02.479691,0.03,7.5
0:00:02.682169,0.03,7.5
0:00:02.886072,0.03,7.5
0:00:03.087306,0.03,7.5
0:00:03.288801,0.01,7.5
0:00:03.491112,0.01,7.5
0:00:03.692370,0.01,7.5
0:00:03.892939,0.01,7.5
0:00:04.106658,0.01,7.5
0:00:04.315062,0.01,7.5
0:00:04.516354,0.01,7.5
0:00:04.717264,0.01,7.5
0:00:04.931910,0.01,7.5
0:00:05.133921,0.01,7.5
0:00:05.338101,0.01,7.5
0:00:05.539497,0.01,7.5
0:00:05.741075,0.01,7.5
0:00:05.942108,0.01,7.5
0:00:06.142386,0.01,7.5
0:00:06.346757,0.01,7.5
0:00:06.551628,0.01,7.5
0:00:06.756691,0.01,7.5
0:00:06.959393,0.01,7.5
0:00:07.162192,0.01,7.5
0:00:07.365054,0.01,7.5
0:00:07.566412,0.01,7.5
0:00:07.768042,0.01,7.5
0:00:07.969998,0.01,7.5
0:00:08.172009,0.01,7.5
0:00:08.376524,0.01,7.5
0:00:08.578722,0.01,7.5
0:00:08.779165,0.01,7.5
0:00:08.993790,0.01,7.5
0:00:09.195357,0.01,7.5
0:00:09.397333,0.01,7.5
0:00:09.599001,0.01,7.5
0:00:09.802283,0.01,7.5
0:00:10.005670,0.01,7.5
0:00:10.207739,0.01,7.5
0:00:10.409181,0.01,7.5
0:00:10.610690,0.01,7.5
0:00:10.824886,0.01,7.5
0:00:11.026168,0.01,7.5
0:00:11.239151,0.01,7.5
0:00:11.454489,0.01,7.5
0:00:11.656128,0.01,7.5
0:00:11.871969,0.01,7.5
0:00:12.072172,0.01,7.5
0:00:12.273345,0.01,7.5
0:00:12.475549,0.01,7.5
0:00:12.679335,0.01,7.5
0:00:12.881407,0.01,7.5
0:00:13.082324,0.01,7.5
0:00:13.286886,0.01,7.5
0:00:13.488554,0.01,7.5
0:00:13.690130,0.01,7.5
0:00:13.892515,0.01,7.5
0:00:14.093336,0.01,7.5
0:00:14.294916,0.01,7.5
0:00:14.497139,0.01,7.5
0:00:14.699676,0.01,7.5
0:00:14.902121,0.01,7.5
0:00:15.104627,0.01,7.5
0:00:15.308060,0.01,7.5
0:00:15.510815,0.01,7.5
0:00:15.711934,0.01,7.5
0:00:15.913552,0.01,7.5
0:00:16.114424,0.01,7.5
0:00:16.316139,0.01,7.5
0:00:16.517321,0.01,7.5
0:00:16.720264,0.01,7.5
0:00:16.921011,0.01,7.5
0:00:17.123942,0.01,7.5
0:00:17.324316,0.01,7.5
0:00:17.527104,0.01,7.5
0:00:17.728493,0.01,7.5
0:00:17.930094,0.01,7.5
0:00:18.133820,0.01,7.5
0:00:18.334699,0.01,7.5
0:00:18.539579,0.01,7.5
0:00:18.741125,0.01,7.5
0:00:18.945264,0.01,7.5
0:00:19.146301,0.01,7.5
0:00:19.347684,0.01,7.5
0:00:19.548194,0.01,7.5
0:00:19.751280,0.01,7.5
0:00:19.952276,0.01,7.5
0:00:20.154262,0.01,7.5
0:00:20.357988,0.01,7.5
0:00:20.558049,0.03,7.5
0:00:20.760163,0.03,7.5
0:00:20.962260,0.33,7.5
0:00:21.163384,0.54,7.5
0:00:21.367455,0.61,7.5
0:00:21.570071,0.61,7.5
0:00:21.771468,0.58,7.5
0:00:21.974067,0.6,7.5
0:00:22.176087,0.6,7.5
0:00:22.378920,0.59,7.5
0:00:22.579615,0.59,7.5
0:00:22.783833,0.6,7.5
0:00:22.986370,0.6,7.5
0:00:23.187078,0.59,7.5
0:00:23.391095,0.59,7.5
0:00:23.592332,0.59,7.5
0:00:23.795023,0.51,7.5
0:00:23.996992,0.5,7.5
0:00:24.199380,0.55,7.5
0:00:24.415419,0.55,7.5
0:00:24.617716,0.54,7.5
0:00:24.822121,0.55,7.5
0:00:25.036237,0.55,7.5
0:00:25.237533,0.54,7.5
0:00:25.439273,0.55,7.5
0:00:25.642109,0.54,7.5
