Time (s),CH1 Current (A),CH1 Voltage (V)
0:00:00,0.0,7.5
0:00:00.201900,0.0,7.5
0:00:00.403138,0.04,7.5
0:00:00.605201,0.04,7.5
0:00:00.820315,0.04,7.5
0:00:01.021483,0.04,7.5
0:00:01.223838,0.04,7.5
0:00:01.425285,0.03,7.5
0:00:01.627338,0.03,7.5
0:00:01.829285,0.03,7.5
0:00:02.031336,0.03,7.5
0:00:02.233321,0.03,7.5
0:00:02.434152,0.03,7.5
0:00:02.634812,0.03,7.5
0:00:02.838817,0.03,7.5
0:00:03.041900,0.03,7.5
0:00:03.257043,0.01,7.5
0:00:03.461549,0.01,7.5
0:00:03.662499,0.01,7.5
0:00:03.863224,0.01,7.5
0:00:04.075859,0.01,7.5
0:00:04.284514,0.01,7.5
0:00:04.487324,0.01,7.5
0:00:04.688102,0.0,7.5
0:00:04.891664,0.01,7.5
0:00:05.093092,0.01,7.5
0:00:05.295042,0.01,7.5
0:00:05.496880,0.01,7.5
0:00:05.703161,0.01,7.5
0:00:05.905180,0.01,7.5
0:00:06.105183,0.01,7.5
0:00:06.307268,0.01,7.5
0:00:06.508504,0.01,7.5
0:00:06.709346,0.01,7.5
0:00:06.924131,0.01,7.5
0:00:07.126482,0.01,7.5
0:00:07.331357,0.01,7.5
0:00:07.531941,0.01,7.5
0:00:07.732102,0.01,7.5
0:00:07.934030,0.01,7.5
0:00:08.139242,0.01,7.5
0:00:08.342275,0.01,7.5
0:00:08.542890,0.01,7.5
0:00:08.757125,0.01,7.5
0:00:08.961293,0.01,7.5
0:00:09.162297,0.01,7.5
0:00:09.364035,0.01,7.5
0:00:09.565981,0.01,7.5
0:00:09.766173,0.01,7.5
0:00:09.966190,0.01,7.5
0:00:10.168912,0.01,7.5
0:00:10.382965,0.01,7.5
0:00:10.584402,0.01,7.5
0:00:10.786980,0.01,7.5
0:00:10.990025,0.01,7.5
0:00:11.204900,0.01,7.5
0:00:11.406245,0.01,7.5
0:00:11.609011,0.01,7.5
0:00:11.810219,0.01,7.5
0:00:12.012860,0.01,7.5
0:00:12.216064,0.01,7.5
0:00:12.417907,0.01,7.5
0:00:12.619181,0.01,7.5
0:00:12.820316,0.01,7.5
0:00:13.034160,0.01,7.5
0:00:13.248787,0.01,7.5
0:00:13.448966,0.01,7.5
0:00:13.651313,0.01,7.5
0:00:13.852867,0.01,7.5
0:00:14.056222,0.01,7.5
0:00:14.256946,0.01,7.5
0:00:14.458779,0.01,7.5
0:00:14.659203,0.01,7.5
0:00:14.862805,0.01,7.5
0:00:15.065045,0.01,7.5
0:00:15.268040,0.01,7.5
0:00:15.468907,0.01,7.5
0:00:15.671358,0.01,7.5
0:00:15.885130,0.01,7.5
0:00:16.086120,0.01,7.5
0:00:16.288988,0.01,7.5
0:00:16.504207,0.01,7.5
0:00:16.718751,0.0,7.5
0:00:16.921343,0.01,7.5
0:00:17.121789,0.01,7.5
0:00:17.323213,0.01,7.5
0:00:17.523286,0.01,7.5
0:00:17.725189,0.01,7.5
0:00:17.926512,0.01,7.5
0:00:18.128626,0.01,7.5
0:00:18.344463,0.01,7.5
0:00:18.546900,0.01,7.5
0:00:18.748072,0.01,7.5
0:00:18.962236,0.01,7.5
0:00:19.165015,0.01,7.5
0:00:19.365196,0.01,7.5
0:00:19.569340,0.01,7.5
0:00:19.770004,0.01,7.5
0:00:19.971042,0.01,7.5
0:00:20.173297,0.01,7.5
0:00:20.375029,0.01,7.5
0:00:20.579165,0.33,7.5
0:00:20.785116,0.37,7.5
0:00:20.986335,0.37,7.5
0:00:21.188470,0.58,7.5
0:00:21.390129,0.6,7.5
0:00:21.591298,0.6,7.5
0:00:21.791749,0.58,7.5
0:00:21.993198,0.58,7.5
0:00:22.194970,0.58,7.5
0:00:22.395246,0.58,7.5
0:00:22.596935,0.57,7.5
0:00:22.801919,0.58,7.5
0:00:23.003817,0.58,7.5
0:00:23.204989,0.58,7.5
0:00:23.407230,0.58,7.5
0:00:23.608976,0.58,7.5
0:00:23.810968,0.58,7.5
0:00:24.013168,0.49,7.5
0:00:24.227175,0.49,7.5
0:00:24.429873,0.49,7.5
0:00:24.633287,0.49,7.5
0:00:24.834191,0.49,7.5
0:00:25.035752,0.49,7.5
0:00:25.237273,0.49,7.5
0:00:25.440439,0.49,7.5
0:00:25.641172,0.49,7.5
0:00:25.843596,0.49,7.5
0:00:26.045036,0.49,7.5
0:00:26.245190,0.54,7.5
0:00:26.445917,0.54,7.5
0:00:26.660637,0.54,7.5
0:00:26.863081,0.54,7.5
0:00:27.077778,0.53,7.5
0:00:27.279141,0.53,7.5
0:00:27.483587,0.53,7.5
0:00:27.683720,0.53,7.5
0:00:27.884436,0.42,7.5
0:00:28.084628,0.42,7.5
0:00:28.299065,0.42,7.5
0:00:28.502124,0.42,7.5
0:00:28.703780,0.42,7.5
0:00:28.918967,0.42,7.5
0:00:29.121197,0.38,7.5
0:00:29.325181,0.4,7.5
0:00:29.527206,0.4,7.5
0:00:29.728464,0.42,7.5
0:00:29.928762,0.42,7.5
0:00:30.131091,0.42,7.5
0:00:30.344999,0.41,7.5
0:00:30.549395,0.41,7.5
0:00:30.751831,0.47,7.5
0:00:30.953371,0.47,7.5
0:00:31.154712,0.42,7.5
0:00:31.355177,0.42,7.5
0:00:31.570778,0.42,7.5
0:00:31.774368,0.43,7.5
0:00:31.977039,0.41,7.5
0:00:32.178901,0.42,7.5
0:00:32.392987,0.42,7.5
0:00:32.593180,0.42,7.5
0:00:32.793209,0.45,7.5
0:00:33.007173,0.41,7.5
0:00:33.208545,0.41,7.5
0:00:33.410254,0.42,7.5
0:00:33.625198,0.42,7.5
0:00:33.839917,0.42,7.5
0:00:34.041382,0.42,7.5
0:00:34.245189,0.42,7.5
0:00:34.446914,0.42,7.5
0:00:34.647235,0.42,7.5
0:00:34.848613,0.42,7.5
0:00:35.050883,0.42,7.5
0:00:35.251947,0.42,7.5
0:00:35.466279,0.42,7.5
0:00:35.669115,0.41,7.5
0:00:35.872138,0.42,7.5
0:00:36.074789,0.42,7.5
0:00:36.278191,0.41,7.5
0:00:36.478381,0.42,7.5
0:00:36.682174,0.42,7.5
0:00:36.882631,0.48,7.5
0:00:37.084162,0.42,7.5
0:00:37.284753,0.42,7.5
0:00:37.486941,0.42,7.5
0:00:37.689378,0.42,7.5
0:00:37.891321,0.42,7.5
0:00:38.093062,0.42,7.5
0:00:38.293602,0.42,7.5
0:00:38.494044,0.42,7.5
0:00:38.694713,0.48,7.5
0:00:38.897389,0.48,7.5
0:00:39.099757,0.42,7.5
0:00:39.302347,0.42,7.5
0:00:39.504077,0.42,7.5
0:00:39.704192,0.42,7.5
0:00:39.906556,0.42,7.5
0:00:40.111347,0.42,7.5
0:00:40.312641,0.42,7.5
0:00:40.528000,0.42,7.5
0:00:40.743554,0.48,7.5
0:00:40.946181,0.48,7.5
0:00:41.149804,0.42,7.5
0:00:41.352228,0.42,7.5
0:00:41.553361,0.42,7.5
0:00:41.754984,0.42,7.5
0:00:41.956229,0.42,7.5
0:00:42.157259,0.42,7.5
0:00:42.358985,0.42,7.5
0:00:42.563442,0.42,7.5
0:00:42.764132,0.46,7.5
0:00:42.964243,0.46,7.5
0:00:43.168903,0.42,7.5
0:00:43.371330,0.42,7.5
0:00:43.571936,0.41,7.5
0:00:43.772071,0.41,7.5
0:00:43.972333,0.41,7.5
0:00:44.174380,0.41,7.5
0:00:44.377041,0.41,7.5
0:00:44.578919,0.41,7.5
0:00:44.779246,0.46,7.5
0:00:44.993391,0.41,7.5
0:00:45.195201,0.41,7.5
0:00:45.398287,0.41,7.5
0:00:45.599262,0.41,7.5
0:00:45.799884,0.41,7.5
0:00:46.002168,0.42,7.5
0:00:46.202826,0.42,7.5
0:00:46.404284,0.42,7.5
0:00:46.604856,0.42,7.5
0:00:46.805633,0.48,7.5
0:00:47.020461,0.42,7.5
0:00:47.235224,0.42,7.5
0:00:47.437530,0.42,7.5
0:00:47.638424,0.42,7.5
0:00:47.853143,0.42,7.5
0:00:48.055290,0.42,7.5
0:00:48.256523,0.42,7.5
0:00:48.457425,0.42,7.5
0:00:48.660598,0.42,7.5
0:00:48.861323,0.41,7.5
0:00:49.075952,0.41,7.5
0:00:49.279367,0.41,7.5
0:00:49.479968,0.41,7.5
0:00:49.680913,0.41,7.5
0:00:49.881258,0.42,7.5
0:00:50.084156,0.42,7.5
0:00:50.286035,0.42,7.5
0:00:50.487219,0.41,7.5
0:00:50.688492,0.4,7.5
0:00:50.889102,0.4,7.5
0:00:51.090170,0.4,7.5
0:00:51.291328,0.41,7.5
0:00:51.497100,0.41,7.5
0:00:51.698116,0.41,7.5
0:00:51.898772,0.41,7.5
0:00:52.101337,0.41,7.5
0:00:52.302176,0.41,7.5
0:00:52.505167,0.41,7.5
0:00:52.708207,0.43,7.5
0:00:52.923403,0.43,7.5
0:00:53.125680,0.41,7.5
0:00:53.326626,0.41,7.5
0:00:53.529271,0.4,7.5
0:00:53.729439,0.4,7.5
0:00:53.930342,0.4,7.5
0:00:54.130445,0.41,7.5
0:00:54.332370,0.41,7.5
0:00:54.535204,0.41,7.5
0:00:54.749759,0.41,7.5
0:00:54.965377,0.41,7.5
0:00:55.168932,0.41,7.5
0:00:55.369992,0.41,7.5
0:00:55.570950,0.41,7.5
0:00:55.772033,0.41,7.5
0:00:55.972109,0.41,7.5
0:00:56.172412,0.42,7.5
0:00:56.372693,0.42,7.5
0:00:56.574319,0.42,7.5
0:00:56.776026,0.42,7.5
0:00:56.976946,0.42,7.5
0:00:57.177760,0.42,7.5
0:00:57.379930,0.42,7.5
0:00:57.595041,0.42,7.5
0:00:57.795406,0.41,7.5
0:00:58.009984,0.41,7.5
0:00:58.224709,0.41,7.5
0:00:58.439568,0.41,7.5
0:00:58.655173,0.41,7.5
0:00:58.858804,0.41,7.5
0:00:59.060941,0.41,7.5
0:00:59.263014,0.41,7.5
0:00:59.466460,0.41,7.5
0:00:59.669009,0.4,7.5
0:00:59.871017,0.4,7.5
0:01:00.072643,0.4,7.5
0:01:00.275499,0.4,7.5
0:01:00.476260,0.4,7.5
0:01:00.677848,0.4,7.5
0:01:00.882369,0.4,7.5
0:01:01.085583,0.41,7.5
0:01:01.287432,0.41,7.5
0:01:01.487883,0.41,7.5
0:01:01.689122,0.41,7.5
0:01:01.903213,0.63,7.5
0:01:02.118075,0.55,7.5
0:01:02.318245,0.55,7.5
0:01:02.518637,0.57,7.5
0:01:02.733159,0.48,7.5
0:01:02.934060,0.39,7.5
0:01:03.139141,0.39,7.5
0:01:03.340408,0.39,7.5
0:01:03.543416,0.39,7.5
0:01:03.747239,0.39,7.5
0:01:03.950867,0.39,7.5
0:01:04.153077,0.39,7.5
0:01:04.355320,0.39,7.5
0:01:04.556333,0.39,7.5
0:01:04.756399,0.39,7.5
0:01:04.971910,0.39,7.5
0:01:05.173165,0.39,7.5
0:01:05.377171,0.38,7.5
0:01:05.579901,0.38,7.5
0:01:05.781617,0.38,7.5
0:01:05.996252,0.38,7.5
0:01:06.197488,0.38,7.5
0:01:06.399518,0.38,7.5
0:01:06.602957,0.38,7.5
0:01:06.804424,0.37,7.5
0:01:07.007762,0.37,7.5
0:01:07.209122,0.37,7.5
0:01:07.411490,0.37,7.5
0:01:07.613323,0.37,7.5
0:01:07.827968,0.37,7.5
0:01:08.042965,0.37,7.5
0:01:08.245207,0.37,7.5
0:01:08.458777,0.37,7.5
0:01:08.661377,0.37,7.5
0:01:08.861592,0.37,7.5
0:01:09.063488,0.37,7.5
0:01:09.265167,0.37,7.5
0:01:09.465176,0.37,7.5
0:01:09.666059,0.37,7.5
0:01:09.867983,0.37,7.5
0:01:10.070273,0.37,7.5
0:01:10.270353,0.37,7.5
0:01:10.471275,0.38,7.5
0:01:10.686647,0.42,7.5
0:01:10.900974,0.41,7.5
0:01:11.101133,0.41,7.5
0:01:11.316101,0.42,7.5
0:01:11.519041,0.42,7.5
0:01:11.720192,0.42,7.5
0:01:11.922505,0.64,7.5
0:01:12.124621,0.63,7.5
0:01:12.328055,0.62,7.5
0:01:12.543315,0.62,7.5
0:01:12.744113,0.48,7.5
0:01:12.945357,0.39,7.5
0:01:13.147235,0.39,7.5
0:01:13.350770,0.39,7.5
0:01:13.552358,0.39,7.5
0:01:13.752839,0.39,7.5
0:01:13.955995,0.39,7.5
0:01:14.156350,0.38,7.5
0:01:14.361645,0.38,7.5
0:01:14.564765,0.38,7.5
0:01:14.767470,0.38,7.5
0:01:14.968347,0.38,7.5
